user_id,first_name,last_name,country_code,registration_date_id,geo_id,segment,is_active_flag
U0000001,Emma,Garcia,ES,20190101,17,Regular,1
U0000002,Michael,Garcia,IT,20190102,18,Regular,1
U0000003,Amelia,Smith,GB,20190102,6,Regular,1
U0000004,Michael,Rossi,US,20190102,3,Regular,1
U0000005,Laura,Miller,DE,20190102,9,Regular,1
U0000006,Oliver,Smith,GB,20190103,6,Regular,1
U0000007,Sophia,Rossi,GB,20190104,6,Bronze,1
U0000008,Laura,Smith,IN,20190105,27,Silver,1
U0000009,Amelia,Rossi,IT,20190106,20,Bronze,1
U0000010,Liam,Anderson,ES,20190107,17,Regular,1
U0000011,Isabella,Garcia,FR,20190108,14,Silver,1
U0000012,James,Müller,FR,20190108,12,Gold,1
U0000013,John,Santos,ES,20190110,17,Regular,1
U0000014,Emma,Rossi,BR,20190110,22,Regular,1
U0000015,Laura,Brown,BR,20190110,21,Regular,1
U0000016,Noah,Dubois,US,20190110,1,Regular,1
U0000017,Amelia,Costa,ES,20190110,15,Bronze,1
U0000018,Lucas,Garcia,FR,20190111,12,Silver,1
U0000019,Noah,Anderson,CA,20190111,23,Regular,1
U0000020,Ethan,Santos,IT,20190112,20,Silver,1
U0000021,Laura,Smith,ES,20190112,17,Silver,1
U0000022,Laura,Miller,US,20190112,1,Gold,1
U0000023,Lucas,Martinez,IT,20190112,20,Regular,1
U0000024,Sophia,Garcia,US,20190114,2,Gold,1
U0000025,David,Costa,DE,20190114,11,Regular,1
U0000026,Maria,Anderson,US,20190116,5,Regular,0
U0000027,John,Anderson,BR,20190117,22,Regular,1
U0000028,Isabella,Smith,GB,20190117,6,Regular,1
U0000029,Michael,Costa,DE,20190119,10,Bronze,1
U0000030,Lucas,Müller,AU,20190119,26,Regular,1
U0000031,Oliver,Rossi,GB,20190119,6,Regular,1
U0000032,Emma,Dubois,ES,20190119,15,Regular,1
U0000033,Emma,Silva,FR,20190120,14,Bronze,1
U0000034,Oliver,Johnson,US,20190121,4,Regular,1
U0000035,Sophia,Moreau,BR,20190121,22,Silver,1
U0000036,Charlotte,Smith,US,20190122,3,Regular,1
U0000037,Liam,Miller,FR,20190122,12,Regular,1
U0000038,John,Santos,ES,20190122,15,Regular,1
U0000039,John,Santos,IT,20190122,19,Regular,0
U0000040,Noah,Anderson,BR,20190122,21,Regular,1
U0000041,Daniel,Dubois,GB,20190123,6,Regular,1
U0000042,Lucas,Johnson,US,20190123,4,Gold,1
U0000043,John,Anderson,BR,20190125,21,Bronze,1
U0000044,Emma,Silva,ES,20190125,16,Regular,1
U0000045,Sophia,Anderson,CA,20190125,24,Regular,1
U0000046,Maria,Anderson,CA,20190125,24,Silver,1
U0000047,Sophia,Müller,CA,20190126,23,Regular,1
U0000048,Charlotte,Johnson,FR,20190128,14,Regular,1
U0000049,Isabella,Smith,DE,20190128,10,Bronze,1
U0000050,Laura,Santos,BR,20190129,21,Bronze,1
U0000051,Amelia,Moreau,FR,20190129,13,Regular,1
U0000052,Sophia,Brown,GB,20190129,6,Regular,1
U0000053,Oliver,Schmidt,CA,20190202,24,Regular,0
U0000054,Amelia,Santos,AU,20190204,26,Bronze,1
U0000055,Maria,Anderson,FR,20190204,14,Regular,1
U0000056,Liam,Miller,US,20190205,2,Regular,1
U0000057,Isabella,Anderson,DE,20190205,11,Regular,0
